IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Substance,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,bio,CO2,2000,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618,22749.87618
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,bio,CO2,2000,678.3586198,661.8192182,689.0333053,704.4167195,699.5386447,704.7346207,678.2703791,661.6915277,688.936551,704.3934455,699.5638499,704.7903187
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.1,Emissions from biomass burning,bio,CO2,2000,380.4953544,535.5910223,1512.74146,2085.922218,1375.011124,654.6025414,379.4299721,534.2266459,1510.990128,2083.414895,1373.221477,654.8274639
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,fossil,CO2,2000,242.6011254,236.683688,246.4184276,251.9245298,250.1830025,252.0430958,242.5804615,236.6537859,246.39577,251.9190795,250.188905,252.056139
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.3,Glass Production,fossil,CO2,2000,0.503622195,0.4913352,0.511537398,0.522966324,0.519345379,0.523201561,0.503555052,0.491250378,0.511476502,0.522950394,0.519365115,0.523244502
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CO2,2000,594.8585465,571.6697672,564.3841967,595.2757693,588.9062122,587.8340369,594.8585465,571.6697672,564.3841967,595.2757693,588.9062122,587.8340369
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CO2,2000,1621.656303,1644.236544,1681.560601,1750.150367,1729.976072,1664.217609,1621.767901,1644.311189,1681.606748,1750.195963,1729.966985,1664.134178
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.1,Solid Fuels,fossil,CO2,2000,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295,0.001297295
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.1,Cement production,fossil,CO2,2000,85.05382824,82.98527912,86.39422121,88.31457079,87.69809445,88.34684138,85.02575165,82.94264315,86.36139367,88.30690797,87.70606379,88.36440457
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.2,Liming,fossil,CO2,2000,0.164403116,0.231436523,0.65418791,0.902048247,0.594595476,0.283318696,0.164403116,0.231436523,0.65418791,0.902048247,0.594595476,0.283318696
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.d,Water-borne Navigation,fossil,CO2,2000,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239,8.021325239
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.4,Residential and other sectors,fossil,CO2,2000,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028,337.5591028
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.c,Railways,fossil,CO2,2000,6.702728423,6.79596077,6.950145749,7.233675833,7.150174948,6.878204278,6.702728423,6.79596077,6.950145749,7.233675833,7.150174948,6.878204278
Non-Annex_I,Western_Africa,NGA,Nigeria,2.C,Metal Industry,fossil,CO2,2000,0.185702283,0.181169132,0.188623879,0.192845188,0.191516493,0.192943025,0.185702283,0.181169132,0.188623879,0.192845188,0.191516493,0.192943025
Non-Annex_I,Western_Africa,NGA,Nigeria,2.D,Non-Energy Products from Fuels and Solvent Use,fossil,CO2,2000,67.96598009,67.59981953,70.01538703,71.15534384,69.01685045,68.91706531,67.98158719,67.61238509,70.02504148,71.1570518,69.01035709,68.90248238
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.2,Oil and Natural Gas,fossil,CO2,2000,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118,4487.891118
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.3,Urea application,fossil,CO2,2000,3.482813295,4.902867513,13.85836072,19.10906033,12.59598029,6.001721249,3.482562635,4.902563822,13.85803545,19.10858813,12.59561681,6.001806624
